YEAR DAY  HR    RAD_AU      HGI_LAT   HGI_LON
2023  13  22    0.9833    -4.395    37.148
2023  13  23    0.9833    -4.399    37.190
2023  14   0    0.9833    -4.403    37.233
2023  14   1    0.9833    -4.407    37.275
2023  14   2    0.9833    -4.412    37.318
2023  14   3    0.9833    -4.416    37.360
2023  14   4    0.9833    -4.420    37.402
2023  14   5    0.9833    -4.424    37.445
2023  14   6    0.9833    -4.429    37.487
2023  14   7    0.9833    -4.433    37.529
2023  14   8    0.9833    -4.437    37.572
2023  14   9    0.9833    -4.441    37.614
2023  14  10    0.9833    -4.446    37.656
2023  14  11    0.9833    -4.450    37.699
2023  14  12    0.9833    -4.454    37.741
2023  14  13    0.9833    -4.458    37.784
2023  14  14    0.9833    -4.462    37.826
2023  14  15    0.9833    -4.467    37.868
2023  14  16    0.9833    -4.471    37.911
2023  14  17    0.9833    -4.475    37.953
2023  14  18    0.9833    -4.479    37.995
2023  14  19    0.9833    -4.484    38.038
2023  14  20    0.9833    -4.488    38.080
2023  14  21    0.9833    -4.492    38.123
2023  14  22    0.9833    -4.496    38.165
2023  14  23    0.9833    -4.500    38.207
2023  15   0    0.9834    -4.505    38.250
2023  15   1    0.9834    -4.509    38.292
2023  15   2    0.9834    -4.513    38.334
2023  15   3    0.9834    -4.517    38.377
2023  15   4    0.9834    -4.521    38.419
2023  15   5    0.9834    -4.526    38.462
2023  15   6    0.9834    -4.530    38.504
2023  15   7    0.9834    -4.534    38.546
2023  15   8    0.9834    -4.538    38.589
2023  15   9    0.9834    -4.542    38.631
2023  15  10    0.9834    -4.546    38.673
2023  15  11    0.9834    -4.551    38.716
2023  15  12    0.9834    -4.555    38.758
2023  15  13    0.9834    -4.559    38.801
2023  15  14    0.9834    -4.563    38.843
2023  15  15    0.9834    -4.567    38.885
2023  15  16    0.9834    -4.571    38.928
2023  15  17    0.9834    -4.576    38.970
2023  15  18    0.9834    -4.580    39.012
2023  15  19    0.9834    -4.584    39.055
2023  15  20    0.9834    -4.588    39.097
2023  15  21    0.9834    -4.592    39.140
2023  15  22    0.9834    -4.596    39.182
2023  15  23    0.9834    -4.600    39.224
2023  16   0    0.9834    -4.605    39.267
2023  16   1    0.9834    -4.609    39.309
2023  16   2    0.9834    -4.613    39.351
2023  16   3    0.9834    -4.617    39.394
2023  16   4    0.9834    -4.621    39.436
2023  16   5    0.9834    -4.625    39.479
2023  16   6    0.9834    -4.629    39.521
2023  16   7    0.9834    -4.633    39.563
2023  16   8    0.9834    -4.638    39.606
2023  16   9    0.9834    -4.642    39.648
2023  16  10    0.9835    -4.646    39.691
2023  16  11    0.9835    -4.650    39.733
2023  16  12    0.9835    -4.654    39.775
2023  16  13    0.9835    -4.658    39.818
2023  16  14    0.9835    -4.662    39.860
2023  16  15    0.9835    -4.666    39.902
2023  16  16    0.9835    -4.670    39.945
2023  16  17    0.9835    -4.674    39.987
2023  16  18    0.9835    -4.679    40.030
2023  16  19    0.9835    -4.683    40.072
2023  16  20    0.9835    -4.687    40.114
2023  16  21    0.9835    -4.691    40.157
2023  16  22    0.9835    -4.695    40.199
2023  16  23    0.9835    -4.699    40.242
2023  17   0    0.9835    -4.703    40.284
2023  17   1    0.9835    -4.707    40.326
2023  17   2    0.9835    -4.711    40.369
2023  17   3    0.9835    -4.715    40.411
2023  17   4    0.9835    -4.719    40.454
2023  17   5    0.9835    -4.723    40.496
2023  17   6    0.9835    -4.727    40.538
2023  17   7    0.9835    -4.732    40.581
2023  17   8    0.9835    -4.736    40.623
2023  17   9    0.9835    -4.740    40.666
2023  17  10    0.9835    -4.744    40.708
2023  17  11    0.9835    -4.748    40.750
2023  17  12    0.9835    -4.752    40.793
